latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.73727,-74.00213,5.0,1.0,0.01,1.0,365.0
40.76288,-73.96084,3.0,2.0,0.04,1.0,0.0
40.7848,-73.95687,3.0,7.0,1.39,1.0,131.0
40.72822,-74.00429,3.0,51.0,0.79,3.0,276.0
40.71151,-73.95142,10.0,0.0,0.146,1.0,0.0
40.69103,-73.9288,30.0,1.0,0.07,2.0,111.0
40.81153,-73.94528,7.0,0.0,0.064,1.0,0.0
40.70713,-73.92918,2.0,18.0,1.61,2.0,5.0
40.72891,-73.95345,2.0,37.0,3.84,1.0,229.0
40.70483,-73.93426,5.0,0.0,0.798,1.0,43.0
40.78892,-73.97402,30.0,1.0,0.19,232.0,218.0
40.72381,-73.97896,26.0,58.0,0.73,3.0,129.0
40.72143,-73.85522,1.0,143.0,3.96,1.0,282.0
40.75278,-73.89114,3.0,1.0,0.49,1.0,59.0
40.72863,-74.00137,4.0,11.0,0.14,1.0,259.0
40.73069,-73.98515,3.0,107.0,2.16,1.0,99.0
40.66326,-73.98805,1.0,49.0,0.66,4.0,24.0
40.7773,-73.95652,2.0,12.0,0.71,1.0,363.0
40.70017,-73.99202,1.0,4.0,0.2,2.0,0.0
40.76752,-73.9314,7.0,12.0,0.42,1.0,3.0
40.67206,-73.9429,4.0,13.0,0.36,2.0,0.0
40.77636,-73.98937,1.0,3.0,0.07,1.0,0.0
40.74449,-73.99445,3.0,63.0,1.02,1.0,323.0
40.67557,-73.85145,1.0,0.0,0.054000000000000006,1.0,0.0
40.72994,-73.99455,1.0,0.0,0.03799999999999999,1.0,0.0
40.76464,-73.99361,5.0,46.0,2.63,1.0,228.0
40.71368,-73.94478,3.0,25.0,0.29,1.0,0.0
40.70406,-73.92578,2.0,12.0,2.67,1.0,3.0
40.7307,-73.98299,365.0,4.0,1.9,5.0,305.0
40.72509,-73.89687,4.0,24.0,0.38,2.0,157.0
40.82823,-73.93925,5.0,17.0,1.36,1.0,119.0
40.74531,-73.99454,30.0,0.0,0.21600000000000003,1.0,270.0
40.69258,-73.92528,2.0,0.0,0.524,3.0,280.0
40.69201,-73.94104,3.0,1.0,0.07,1.0,0.0
